"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0427229543923802,0.0120513502760961,2374,3.54507614612459,0.000400088913578116
"mean_cor",0.0165636542672709,0.00691621972043079,2374,2.39489995066832,0.0167019815975307
