"","month","year","site","plot","Genus_species","rep","height","scenesced_leaves","green_leaves","emerging_leaves","leaf_area","force_to_break_leaf","leaf_wet_wt","herbivory_binary","herbivory_proportion","leaf_dry_wt","individual_biomass","notes","trt"
"180","june",2011,"pplots","8f","Andropogon_gerardii",1,28,1,2,2,556.068,79.33,0.084,0,0,0.0275,0.1358,"","C::P0"
"181","august",2011,"pplots","8f","Solidago_missouriensis",3,12.5,2,3,1,357.234,95.23,0.0953,1,0.5,0.0322,0.1833,"","C::P0"
"182","june",2011,"pplots","8f","Dichanthelium_oligosanthes",1,24.5,2,13,9,674.231,109.34,0.1294,1,0.1,0.0396,0.5802,"","C::P0"
"183","august",2011,"pplots","8f","Andropogon_gerardii",3,35,3,3,1,697.269,119.85,0.1472,1,0.3,0.0517,0.3625,"","C::P0"
"184","june",2011,"pplots","8f","Solidago_missouriensis",3,15.5,1,5,1,763.138,142.42,0.1713,1,0.3,0.0467,0.2552,"","C::P0"
"185","august",2011,"pplots","8f","Solidago_missouriensis",2,17.5,1,4,1,665.276,113.02,0.1922,1,0.1,0.0596,0.3104,"","C::P0"
"186","june",2011,"pplots","8f","Solidago_missouriensis",2,14,1,6,0,712.212,78.19,0.2052,0,0,0.0582,0.2616,"","C::P0"
"187","august",2011,"pplots","8f","Sorghastrum_nutans",2,38.5,2,2,1,1346.686,184.24,0.2624,1,0.1,0.1,0.4216,"","C::P0"
"188","june",2011,"pplots","8f","Andropogon_gerardii",2,60.5,1,2,3,1433.55,293.43,0.2762,0,0,0.0876,0.6984,"","C::P0"
"189","june",2011,"pplots","8f","Andropogon_gerardii",3,55,2,2,1,1511.263,209.56,0.2994,0,0,0.0919,0.393,"","C::P0"
"190","august",2011,"pplots","8f","Andropogon_gerardii",2,48,3,1,1,1357.901,114.81,0.3011,1,0.1,0.1314,0.4619,"","C::P0"
"191","june",2011,"pplots","8f","Sorghastrum_nutans",1,40,2,2,1,1790.588,189.48,0.3166,1,0.2,0.1118,0.3047,"","C::P0"
"192","june",2011,"pplots","8f","Solidago_missouriensis",1,17,0,6,1,1048.639,121.78,0.3202,0,0,0.0917,0.3797,"","C::P0"
"193","august",2011,"pplots","8f","Sorghastrum_nutans",3,46.5,1,2,1,1668.981,307.25,0.3316,1,0.1,0.148,0.4703,"","C::P0"
"194","june",2011,"pplots","8f","Sorghastrum_nutans",3,55.5,2,1,1,2447.553,189.04,0.4257,0,0,0.1289,0.4993,"","C::P0"
"195","august",2011,"pplots","8f","Sorghastrum_nutans",1,63,2,1,2,2580.598,173.93,0.5343,1,0.2,0.2358,0.4896,"","C::P0"
"196","june",2011,"nutnet","4","Ambrosia_psilostachya",1,9.5,4,4,0,46.808,37.09,0.0097,0,0,0.002,0.0178,"","x"
"197","june",2011,"nutnet","4","Ambrosia_psilostachya",2,7,4,2,1,59.649,79.32,0.0123,0,0,0.0031,0.0199,"","x"
"198","august",2011,"nutnet","4","Dichanthelium_oligosanthes",1,20,5,16,8,122.289,119.29,0.0166,0,0,0.0068,0.4214,"","x"
"199","august",2011,"nutnet","4","Dichanthelium_oligosanthes",2,17.5,4,11,2,172.048,154.88,0.0227,1,0.1,0.0074,0.2036,"","x"
"200","june",2011,"nutnet","4","Dichanthelium_oligosanthes",3,22,3,15,4,223.941,124.48,0.0293,1,0.1,0.0067,0.3903,"","x"
"201","august",2011,"nutnet","4","Dichanthelium_oligosanthes",3,20,3,12,4,238.961,155.85,0.0326,0,0,0.0152,0.2891,"","x"
"202","june",2011,"nutnet","4","Ambrosia_psilostachya",3,18.5,1,8,4,184.998,78.08,0.0366,1,0.1,0.0106,0.1562,"","x"
"203","august",2011,"nutnet","4","Schizachyrium_scoparium",3,31.5,1,4,0,264.257,155.25,0.0504,1,0.2,0.0198,0.2354,"","x"
"204","june",2011,"nutnet","4","Dichanthelium_oligosanthes",2,26.5,0,11,4,383.983,141.23,0.0541,1,0.2,0.0134,0.4251,"","x"
"205","august",2011,"nutnet","4","Schizachyrium_scoparium",1,25,4,2,1,313.528,99.78,0.0588,1,0.1,0.0235,0.2015,"","x"
"206","june",2011,"nutnet","4","Schizachyrium_scoparium",1,29,1,2,1,320.639,201.54,0.0594,0,0,0.022,0.1292,"","x"
"207","june",2011,"nutnet","4","Dichanthelium_oligosanthes",1,17,0,10,3,420.325,135.02,0.0618,1,0.1,0.0156,0.2804,"","x"
"208","june",2011,"nutnet","4","Schizachyrium_scoparium",3,29,2,3,1,345.66,146.91,0.0647,0,0,0.0181,0.0959,"","x"
"209","june",2011,"nutnet","4","Schizachyrium_scoparium",2,26.5,1,3,1,456.323,156.34,0.0745,0,0,0.0277,0.181,"","x"
"210","june",2011,"nutnet","4","Andropogon_gerardii",3,23,0,3,1,493.321,133.04,0.0822,1,0.2,0.024,0.106,"","x"
"211","june",2011,"nutnet","4","Sorghastrum_nutans",3,25,2,2,1,599.469,158.11,0.0872,0,0,0.033,0.1114,"","x"
"212","august",2011,"nutnet","4","Schizachyrium_scoparium",2,37,2,3,1,542.41,151.43,0.0923,1,0.3,0.0471,0.2308,"","x"
"213","june",2011,"nutnet","4","Andropogon_gerardii",1,30.5,2,2,2,498.362,151.91,0.0973,0,0,0.0313,0.162,"","x"
"214","june",2011,"nutnet","4","Sorghastrum_nutans",2,29,1,2,1,683.519,181.86,0.0984,0,0,0.0297,0.0833,"","x"
"215","june",2011,"nutnet","4","Solidago_missouriensis",3,14,1,5,1,429.437,120.77,0.0991,0,0,0.0265,0.1499,"","x"
"216","august",2011,"nutnet","4","Sorghastrum_nutans",3,24.5,0,2,1,600.929,145.16,0.1074,1,0.2,0.0436,0.1414,"","x"
"217","august",2011,"nutnet","4","Solidago_missouriensis",3,28,11,26,4,341.608,95.66,0.1082,1,0.3,0.0426,1.1213,"","x"
"218","june",2011,"nutnet","4","Sorghastrum_nutans",1,28,2,2,1,800.341,182.59,0.1211,0,0,0.0378,0.1187,"","x"
"219","june",2011,"nutnet","4","Solidago_missouriensis",2,15,1,6,2,523.233,102.19,0.1266,1,0.4,0.037,0.3082,"","x"
"220","june",2011,"nutnet","4","Solidago_missouriensis",1,12,2,5,2,505.04,111,0.1283,0,0,0.0382,0.1848,"","x"
"221","august",2011,"nutnet","4","Andropogon_gerardii",2,35,4,2,1,474.292,121.17,0.134,1,0.2,0.0473,0.3678,"","x"
"222","august",2011,"nutnet","4","Andropogon_gerardii",1,32,5,2,1,628.038,85,0.1515,1,0.3,0.0563,0.4514,"","x"
"223","august",2011,"nutnet","4","Andropogon_gerardii",3,25.5,2,1,0,813.002,101.82,0.1717,1,0.1,0.0714,0.1298,"","x"
"224","june",2011,"nutnet","4","Andropogon_gerardii",2,35,0,4,1,1035.036,146.25,0.1928,1,0.3,0.0661,0.2563,"","x"
"225","august",2011,"nutnet","4","Solidago_missouriensis",2,16,4,3,1,823.985,74.68,0.2462,1,0.3,0.0851,0.314,"","x"
"226","august",2011,"nutnet","4","Solidago_missouriensis",1,18.5,2,5,1,957.358,43.05,0.2635,1,0.1,0.0908,0.5253,"","x"
"227","august",2011,"nutnet","4","Sorghastrum_nutans",2,47,2,2,1,1530.071,234.72,0.3184,1,0.1,0.1384,0.5211,"","x"
"228","august",2011,"nutnet","4","Sorghastrum_nutans",1,35.5,2,1,1,1602.616,111.26,0.3499,1,0.3,0.1581,0.6753,"","x"
"229","june",2011,"nutnet","18","Ambrosia_psilostachya",1,7.5,0,5,2,29.17,61.54,0.0081,1,0.3,0.0011,0.0148,"","x"
"230","june",2011,"nutnet","18","Ambrosia_psilostachya",3,14,3,5,2,83.676,91.7,0.0122,0,0,0.0037,0.0327,"","x"
"231","june",2011,"nutnet","18","Schizachyrium_scoparium",1,28.5,1,2,1,187.567,59.36,0.0183,0,0,0.0083,0.0458,"","x"
"232","august",2011,"nutnet","18","Dichanthelium_oligosanthes",3,13,2,3,1,151.818,147,0.0255,0,0,0.0074,0.0896,"","x"
"233","august",2011,"nutnet","18","Schizachyrium_scoparium",2,24,1,4,1,177.68,185.79,0.0277,0,0,0.0095,0.1239,"","x"
"234","june",2011,"nutnet","18","Schizachyrium_scoparium",2,14.5,0,3,1,211.402,85.34,0.0288,0,0,0.0085,0.0622,"","x"
"235","august",2011,"nutnet","18","Dichanthelium_oligosanthes",2,19.5,4,12,4,254.63,179.74,0.0353,0,0,0.0154,0.3597,"","x"
"236","june",2011,"nutnet","18","Ambrosia_psilostachya",2,18,2,6,4,146.711,99.81,0.0381,1,0.2,0.0086,0.1043,"","x"
"237","august",2011,"nutnet","18","Schizachyrium_scoparium",1,27.5,1,3,0,240.948,236.42,0.0386,1,0.1,0.015,0.1259,"","x"
"238","august",2011,"nutnet","18","Dichanthelium_oligosanthes",1,12,1,3,0,259.092,163,0.0408,0,0,0.0104,0.0487,"","x"
"239","june",2011,"nutnet","18","Dichanthelium_oligosanthes",2,21,1,7,8,311.37,113.01,0.0411,0,0,0.0107,0.2829,"","x"
"240","august",2011,"nutnet","18","Schizachyrium_scoparium",3,35,1,3,1,258.718,94.13,0.0431,0,0,0.0176,0.1958,"","x"
"241","june",2011,"nutnet","18","Andropogon_gerardii",3,17.5,1,3,1,296.391,93.04,0.0437,1,0.1,0.0147,0.0557,"","x"
"242","june",2011,"nutnet","18","Schizachyrium_scoparium",3,20,1,2,1,307.445,95.43,0.0577,0,0,0.0135,0.0697,"","x"
"243","june",2011,"nutnet","18","Dichanthelium_oligosanthes",3,36,5,12,2,417.15,177.47,0.0661,0,0,0.0174,0.8483,"","x"
"244","june",2011,"nutnet","18","Solidago_missouriensis",2,10.5,0,3,2,301.171,331.2,0.0716,0,0,0.019,0.098,"","x"
"245","august",2011,"nutnet","18","Andropogon_gerardii",1,25,3,2,1,454.978,189.03,0.1019,1,0.2,0.0357,0.2622,"","x"
"246","june",2011,"nutnet","18","Dichanthelium_oligosanthes",1,21,1,13,8,546.786,121.06,0.104,1,0.3,0.027,0.6478,"","x"
"247","august",2011,"nutnet","18","Andropogon_gerardii",3,35,3,1,1,582.928,136.38,0.127,1,0.1,0.0401,0.2498,"","x"
"248","august",2011,"nutnet","18","Andropogon_gerardii",2,38.5,3,2,1,563.386,138.06,0.1376,1,0.3,0.0666,0.3468,"","x"
"249","august",2011,"nutnet","18","Sorghastrum_nutans",1,26.5,1,2,1,545.479,181.6,0.1379,0,0,0.0496,0.1028,"","x"
"250","august",2011,"nutnet","18","Solidago_missouriensis",1,12.5,2,2,1,620.543,44.3,0.1648,0,0,0.0509,0.1641,"","x"
"251","august",2011,"nutnet","18","Solidago_missouriensis",2,13.5,2,2,1,699.12,66.04,0.1649,0,0,0.0736,0.2486,"","x"
"252","june",2011,"nutnet","18","Solidago_missouriensis",3,16.5,1,7,4,666.667,105.35,0.1705,1,0.1,0.0521,0.5525,"","x"
"253","august",2011,"nutnet","18","Solidago_missouriensis",3,15,1,6,1,599.315,59.84,0.1746,0,0,0.0717,0.6467,"","x"
"254","june",2011,"nutnet","18","Sorghastrum_nutans",3,39,2,2,2,963.192,149.79,0.1746,1,0.3,0.0506,0.2356,"","x"
"255","june",2011,"nutnet","18","Solidago_missouriensis",1,17.5,1,5,2,625.98,226.55,0.1822,0,0,0.0524,0.3534,"","x"
"256","june",2011,"nutnet","18","Andropogon_gerardii",1,40,2,3,3,958.041,153.82,0.1831,1,0.2,0.0713,0.7281,"","x"
"257","june",2011,"nutnet","18","Andropogon_gerardii",2,42,1,3,3,1047.288,163.64,0.1973,1,0.3,0.072,0.5715,"","x"
"258","august",2011,"nutnet","18","Sorghastrum_nutans",2,36,3,2,1,810.706,169.2,0.2061,1,0.1,0.0962,0.5165,"","x"
"259","august",2011,"nutnet","18","Sorghastrum_nutans",3,36.5,2,2,1,1238.345,296,0.2584,1,0.1,0.125,0.487,"","x"
"260","june",2011,"nutnet","18","Sorghastrum_nutans",2,45,2,2,1,2128.071,98.94,0.425,1,0.3,0.1483,0.6171,"","x"
"261","june",2011,"nutnet","18","Sorghastrum_nutans",1,53,3,2,1,2403.973,379.45,0.488,1,0.2,0.1912,0.9017,"","x"
"262","june",2011,"nutnet","21","Schizachyrium_scoparium",2,19,2,2,1,215.278,117.05,0.0272,1,0.1,0.0091,0.0423,"","x"
"263","august",2011,"nutnet","21","Schizachyrium_scoparium",1,33.5,1,3,1,227.041,105.9,0.0313,1,0.3,0.0162,0.2567,"","x"
"264","august",2011,"nutnet","21","Schizachyrium_scoparium",2,35.5,2,5,1,222.684,90.62,0.0314,1,0.1,0.0136,0.3436,"","x"
"265","august",2011,"nutnet","21","Dichanthelium_oligosanthes",3,18.5,1,5,2,502.159,163.09,0.0325,0,0,0.009,0.1649,"","x"
"266","august",2011,"nutnet","21","Dichanthelium_oligosanthes",2,12.5,0,3,2,516.627,173.63,0.0342,1,0.2,0.0121,0.0488,"","x"
"267","june",2011,"nutnet","21","Ambrosia_psilostachya",1,22,2,6,4,194.51,61.82,0.0382,1,0.4,0.0104,0.1143,"","x"
"268","june",2011,"nutnet","21","Ambrosia_psilostachya",3,12,2,4,2,169.343,37.47,0.044,0,0,0.0111,0.0983,"","x"
"269","august",2011,"nutnet","21","Dichanthelium_oligosanthes",1,29,5,8,4,637.87,184.5,0.0459,1,0.1,0.0144,0.4622,"","x"
"270","june",2011,"nutnet","21","Dichanthelium_oligosanthes",2,15,1,6,2,318.81,98.72,0.0471,0,0,0.0125,0.1508,"","x"
"271","june",2011,"nutnet","21","Ambrosia_psilostachya",2,16.5,1,4,4,233.739,54.37,0.0496,0,0,0.0171,0.1783,"","x"
"272","august",2011,"nutnet","21","Solidago_missouriensis",2,29,5,24,2,217.761,41.26,0.0637,1,0.4,0.0237,0.9831,"","x"
"273","june",2011,"nutnet","21","Dichanthelium_oligosanthes",1,26,2,4,2,506.509,106.37,0.0651,0,0,0.0214,0.2331,"","x"
"274","august",2011,"nutnet","21","Solidago_missouriensis",1,29.5,2,32,5,233.974,34.28,0.069,1,0.3,0.0306,1.2263,"","x"
"275","august",2011,"nutnet","21","Solidago_missouriensis",3,10.5,2,2,1,447.695,79.22,0.0938,1,0.5,0.0359,0.0981,"","x"
"276","june",2011,"nutnet","21","Andropogon_gerardii",2,30,1,3,1,658.529,184.11,0.0986,0,0,0.0336,0.1831,"","x"
"277","june",2011,"nutnet","21","Dichanthelium_oligosanthes",3,28,2,5,3,626.458,103.32,0.1024,0,0,0.0285,0.4031,"","x"
"278","june",2011,"nutnet","21","Solidago_missouriensis",1,11,0,5,0,434.508,113.21,0.1048,0,0,0.0261,0.104,"","x"
"279","august",2011,"nutnet","21","Andropogon_gerardii",2,30,4,0,1,673.356,155.33,0.1088,1,0.2,0.0527,0.1492,"","x"
"280","june",2011,"nutnet","21","Andropogon_gerardii",3,34,0,3,2,649.017,171.86,0.1108,0,0,0.0378,0.2286,"","x"
"281","august",2011,"nutnet","21","Schizachyrium_scoparium",3,38.5,2,1,0,561.081,147.49,0.1145,1,0.2,0.0518,0.1576,"","x"
"282","june",2011,"nutnet","21","Schizachyrium_scoparium",1,33,1,3,1,552.73,133.48,0.1281,1,0.3,0.0492,0.2141,"","x"
"283","june",2011,"nutnet","21","Andropogon_gerardii",1,33.5,3,4,2,877.905,85.72,0.14,0,0,0.0518,0.3488,"","x"
"284","june",2011,"nutnet","21","Schizachyrium_scoparium",3,41,1,3,1,765.724,186.95,0.1405,1,0.3,0.0524,0.2175,"","x"
"285","august",2011,"nutnet","21","Andropogon_gerardii",3,32.5,4,3,1,868.799,194.72,0.155,1,0.1,0.0537,0.6364,"","x"
"286","august",2011,"nutnet","21","Sorghastrum_nutans",2,39,1,2,1,712.312,181.3,0.1938,1,0.1,0.0877,0.2898,"","x"
"287","june",2011,"nutnet","21","Solidago_missouriensis",2,31.5,1,5,1,76.695,85.66,0.2042,0,0,0.0606,0.2875,"","x"
"288","august",2011,"nutnet","21","Andropogon_gerardii",1,43,2,1,2,1080.68,132.37,0.2139,1,0.1,0.0918,0.5095,"","x"
"289","august",2011,"nutnet","21","Sorghastrum_nutans",1,42.5,4,1,1,1217.644,149.53,0.2444,1,0.1,0.1349,0.4692,"","x"
"290","june",2011,"nutnet","21","Solidago_missouriensis",3,15,2,3,3,849.577,67.91,0.2476,1,0.1,0.0671,0.4197,"","x"
"291","august",2011,"nutnet","21","Sorghastrum_nutans",3,46.5,3,1,1,1489.794,192.9,0.2725,1,0.1,0.1343,0.4168,"","x"
"292","june",2011,"nutnet","21","Sorghastrum_nutans",1,41,1,2,1,1780.63,272.06,0.3359,1,0.2,0.1239,0.3377,"","x"
"293","june",2011,"nutnet","21","Sorghastrum_nutans",2,48.5,1,1,2,1817.766,150.1,0.3445,0,0,0.1154,0.4899,"","x"
"294","june",2011,"nutnet","21","Sorghastrum_nutans",3,49,1,3,1,2124.844,272.14,0.4072,1,0.1,0.1448,0.6398,"","x"
