"","month","year","site","plot","Genus_species","rep","height","scenesced_leaves","green_leaves","emerging_leaves","leaf_area","force_to_break_leaf","leaf_wet_wt","herbivory_binary","herbivory_proportion","leaf_dry_wt","individual_biomass","notes","trt"
"41","june",2011,"pplots","5a","Dichanthelium_oligosanthes",3,14.5,2,2,1,380.388,98.35,0.0546,0,0,0.0118,0.0817,"","C::P0"
"42","june",2011,"pplots","5a","Schizachyrium_scoparium",2,25,1,1,1,433.058,96.77,0.0587,1,0.1,0.0188,0.0448,"","C::P0"
"43","august",2011,"pplots","5a","Schizachyrium_scoparium",3,37,2,2,1,364.22,126.43,0.0626,1,0.3,0.0249,0.2495,"","C::P0"
"44","june",2011,"pplots","5a","Schizachyrium_scoparium",3,35.5,0,3,1,499.528,170.13,0.0884,0,0,0.031,0.1498,"","C::P0"
"45","june",2011,"pplots","5a","Andropogon_gerardii",2,44,1,2,2,681.325,133.25,0.0942,0,0,0.0283,0.1463,"","C::P0"
"46","august",2011,"pplots","5a","Andropogon_gerardii",2,43,1,1,1,695.096,100.24,0.0954,0,0,0.0353,0.1342,"","C::P0"
"47","june",2011,"pplots","5a","Schizachyrium_scoparium",1,34,0,4,1,717.439,74.69,0.1101,0,0,0.0427,0.2064,"","C::P0"
"48","august",2011,"pplots","5a","Andropogon_gerardii",1,32,3,1,0,677.541,123.95,0.1137,1,0.2,0.0494,0.1312,"","C::P0"
"49","august",2011,"pplots","5a","Solidago_missouriensis",2,32.5,8,12,1,381.646,87.05,0.1161,0,0,0.0449,1.0332,"","C::P0"
"50","june",2011,"pplots","5a","Andropogon_gerardii",1,45,2,3,1,740.17,136.66,0.1301,0,0,0.0461,0.2665,"","C::P0"
"51","june",2011,"pplots","5a","Sorghastrum_nutans",2,46,1,2,1,1026.554,162.51,0.1352,0,0,0.0405,0.1576,"","C::P0"
"52","august",2011,"pplots","5a","Solidago_missouriensis",3,38,8,10,1,557.999,104.3,0.1576,1,0.2,0.058,1.2477,"","C::P0"
"53","june",2011,"pplots","5a","Solidago_missouriensis",3,29,3,12,0,594.393,104.05,0.1634,0,0,0.0402,0.8437,"","C::P0"
"54","august",2011,"pplots","5a","Andropogon_gerardii",3,49.5,3,3,1,915.619,143.65,0.1952,1,0.2,0.0662,0.6212,"","C::P0"
"55","august",2011,"pplots","5a","Solidago_missouriensis",1,43.5,8,15,11,789.069,114.84,0.2224,1,0.1,0.0735,1.7289,"","C::P0"
"56","august",2011,"pplots","5a","Sorghastrum_nutans",2,57.5,2,2,1,1049.416,161.08,0.2281,1,0.2,0.1045,0.4364,"","C::P0"
"57","june",2011,"pplots","5a","Solidago_missouriensis",2,44.5,2,23,26,873.49,139.74,0.2608,1,0.1,0.0792,3.3264,"","C::P0"
"58","august",2011,"pplots","5a","Sorghastrum_nutans",1,48.5,2,2,1,1525.1,170.51,0.2698,1,0.2,0.1141,0.3348,"","C::P0"
"59","june",2011,"pplots","5a","Solidago_missouriensis",1,32.5,2,13,2,942.702,249.28,0.2772,1,0.1,0.0789,1.5511,"","C::P0"
"60","june",2011,"pplots","5a","Andropogon_gerardii",3,58,1,4,1,2492.067,161.44,0.4847,0,0,0.1687,0.8165,"","C::P0"
"61","june",2011,"pplots","5a","Sorghastrum_nutans",1,57,2,2,1,2604.595,172.3,0.5092,1,0.3,0.1667,0.64,"","C::P0"
"62","june",2011,"pplots","5c","Oxalis_stricta",2,4.5,1,3,1,49.246,13.93,0.0049,0,0,0.0014,0.0047,"","C::P0"
"63","june",2011,"pplots","5c","Oxalis_stricta",1,4.5,0,6,1,53.123,6.18,0.0053,1,0.1,0.0011,0.0066,"","C::P0"
"64","june",2011,"pplots","5c","Ambrosia_psilostachya",1,16,4,4,2,92.403,35.02,0.0174,1,0.5,0.0047,0.0464,"","C::P0"
"65","june",2011,"pplots","5c","Andropogon_gerardii",1,40,3,4,1,1218.194,136.05,0.0277,0,0,0.0715,0.4531,"","C::P0"
"66","august",2011,"pplots","5c","Dichanthelium_oligosanthes",2,34,5,22,5,188.778,102.65,0.0278,1,0.1,0.0082,0.7499,"","C::P0"
"67","june",2011,"pplots","5c","Schizachyrium_scoparium",3,28.5,0,3,1,263.344,203.29,0.0289,0,0,0.0088,0.0548,"","C::P0"
"68","june",2011,"pplots","5c","Ambrosia_psilostachya",3,19.5,4,6,4,147.694,105.86,0.0307,1,0.1,0.0093,0.134,"","C::P0"
"69","august",2011,"pplots","5c","Dichanthelium_oligosanthes",3,24.5,6,15,6,213.386,120.59,0.0315,1,0.1,0.0117,0.4504,"","C::P0"
"70","august",2011,"pplots","5c","Schizachyrium_scoparium",2,29,2,3,0,242.166,103.08,0.0324,1,0.2,0.0151,0.1175,"","C::P0"
"71","august",2011,"pplots","5c","Schizachyrium_scoparium",3,38.5,2,2,1,220.403,107.63,0.0357,1,0.1,0.017,0.1688,"","C::P0"
"72","august",2011,"pplots","5c","Dichanthelium_oligosanthes",1,19.5,4,13,5,275.599,180.7,0.0401,0,0,0.0165,0.2888,"","C::P0"
"73","june",2011,"pplots","5c","Sorghastrum_nutans",1,40,1,1,2,371.27,114.43,0.049,1,0.1,0.0189,0.1245,"","C::P0"
"74","june",2011,"pplots","5c","Dichanthelium_oligosanthes",1,23,1,5,2,366.28,117.25,0.0558,1,0.3,0.0159,0.2584,"","C::P0"
"75","august",2011,"pplots","5c","Solidago_missouriensis",2,13,4,3,1,264.911,110.55,0.0589,1,0.1,0.045,0.1953,"","C::P0"
"76","june",2011,"pplots","5c","Dichanthelium_oligosanthes",3,20,1,6,3,395.953,94.6,0.0615,0,0,0.0182,0.2045,"","C::P0"
"77","june",2011,"pplots","5c","Sorghastrum_nutans",3,32.5,2,1,1,547.712,172.78,0.0622,0,0,0.0356,0.1264,"moldy","C::P0"
"78","june",2011,"pplots","5c","Dichanthelium_oligosanthes",2,23.5,2,3,2,441.308,147.2,0.0669,1,0.2,0.0187,0.1736,"","C::P0"
"79","june",2011,"pplots","5c","Ambrosia_psilostachya",2,22.5,6,6,4,303.608,64.86,0.0673,1,0.1,0.017,0.2085,"","C::P0"
"80","august",2011,"pplots","5c","Schizachyrium_scoparium",1,31.5,2,3,1,361.117,147.4,0.07,1,0.3,0.032,0.2253,"","C::P0"
"81","august",2011,"pplots","5c","Andropogon_gerardii",1,39.5,3,2,2,424.341,186.59,0.0717,0,0,0.0303,0.4365,"","C::P0"
"82","june",2011,"pplots","5c","Schizachyrium_scoparium",2,32,0,3,1,591.837,183.3,0.0866,0,0,0.0305,0.1333,"","C::P0"
"83","august",2011,"pplots","5c","Andropogon_gerardii",3,40.5,4,2,1,492.866,166.18,0.0899,1,0.1,0.0338,0.6219,"","C::P0"
"84","august",2011,"pplots","5c","Solidago_missouriensis",3,11,4,1,1,418.191,77.98,0.1038,0,0,0.0335,0.1124,"","C::P0"
"85","june",2011,"pplots","5c","Andropogon_gerardii",3,39.5,0,2,2,731.719,122.39,0.1089,0,0,0.0375,0.1872,"","C::P0"
"86","august",2011,"pplots","5c","Andropogon_gerardii",2,37.5,4,3,2,565.474,203,0.1135,1,0.3,0.0434,0.4739,"","C::P0"
"87","june",2011,"pplots","5c","Andropogon_gerardii",2,42,1,4,2,751.298,111.94,0.1181,1,0.1,0.0378,0.3394,"","C::P0"
"88","june",2011,"pplots","5c","Schizachyrium_scoparium",1,39,0,4,1,837.074,182.46,0.1315,0,0,0.0469,0.2737,"","C::P0"
"89","august",2011,"pplots","5c","Sorghastrum_nutans",3,33,3,2,1,588.173,207.79,0.1426,1,0.1,0.057,0.2325,"","C::P0"
"90","august",2011,"pplots","5c","Sorghastrum_nutans",1,39.5,3,1,1,884.785,182.67,0.1541,1,0.3,0.0632,0.4441,"","C::P0"
"91","june",2011,"pplots","5c","Solidago_missouriensis",3,17.5,2,8,0,575.744,106.19,0.1705,1,0.2,0.0427,0.3659,"","C::P0"
"92","june",2011,"pplots","5c","Sorghastrum_nutans",2,39,1,2,1,1162.351,172.47,0.2002,0,0,0.0637,0.217,"","C::P0"
"93","june",2011,"pplots","5c","Solidago_missouriensis",1,16.5,3,6,2,759.376,100.19,0.2009,0,0,0.0514,0.3199,"","C::P0"
"94","august",2011,"pplots","5c","Solidago_missouriensis",1,17.5,2,3,1,888.064,113.7,0.2703,0,0,0.0834,0.3051,"","C::P0"
"95","august",2011,"pplots","5c","Sorghastrum_nutans",2,41.5,2,3,1,1397.796,183.67,0.3187,1,0.1,0.1066,0.5257,"","C::P0"
"96","june",2011,"pplots","5c","Solidago_missouriensis",2,17,3,6,1,1025.607,100.38,0.3234,1,0.2,0.0937,0.6572,"","C::P0"
"97","june",2011,"pplots","6c","Ambrosia_psilostachya",1,15,2,6,2,132.846,68.89,0.0256,1,0.1,0.0057,0.0533,"","C::P0"
"98","august",2011,"pplots","6c","Schizachyrium_scoparium",2,39,3,4,2,252.496,202.94,0.0264,1,0.1,0.0147,0.3458,"","C::P0"
"99","august",2011,"pplots","6c","Dichanthelium_oligosanthes",1,18.5,4,3,0,167.558,185.89,0.0272,1,0.1,0.0072,0.1263,"","C::P0"
"100","august",2011,"pplots","6c","Dichanthelium_oligosanthes",3,21.5,2,9,5,163.375,121.2,0.0273,1,0.1,0.0077,0.304,"","C::P0"
"101","june",2011,"pplots","6c","Ambrosia_psilostachya",3,15.5,2,6,2,120.785,54.95,0.0279,1,0.5,0.0054,0.0634,"","C::P0"
"102","august",2011,"pplots","6c","Sorghastrum_nutans",2,36.5,1,3,1,212.998,145,0.029,1,0.1,0.0115,0.1895,"","C::P0"
"103","august",2011,"pplots","6c","Schizachyrium_scoparium",3,36,1,3,1,166.704,160.82,0.0305,1,0.2,0.0116,0.1662,"","C::P0"
"104","august",2011,"pplots","6c","Dichanthelium_oligosanthes",2,19.5,9,19,3,239.211,142.71,0.0332,1,0.2,0.0107,0.5117,"","C::P0"
"105","june",2011,"pplots","6c","Andropogon_gerardii",1,29,1,1,2,314.663,213.54,0.0363,0,0,0.016,0.1078,"","C::P0"
"106","june",2011,"pplots","6c","Ambrosia_psilostachya",2,21,4,6,4,258.074,71.22,0.0565,1,0.5,0.0123,0.1655,"","C::P0"
"107","june",2011,"pplots","6c","Dichanthelium_oligosanthes",3,13.5,0,4,3,444.065,107.43,0.0684,0,0,0.0169,0.1391,"","C::P0"
"108","june",2011,"pplots","6c","Schizachyrium_scoparium",1,37,1,2,1,595.334,137.5,0.0776,0,0,0.0303,0.1596,"","C::P0"
"109","june",2011,"pplots","6c","Dichanthelium_oligosanthes",2,33,1,9,3,454.79,114.3,0.0791,0,0,0.0195,0.4758,"","C::P0"
"110","june",2011,"pplots","6c","Dichanthelium_oligosanthes",1,33.5,2,11,8,492.707,120.52,0.0904,0,0,0.0215,0.6347,"","C::P0"
"111","august",2011,"pplots","6c","Schizachyrium_scoparium",1,31.5,5,1,0,361.2,106.47,0.0948,1,0.1,0.0381,0.1528,"","C::P0"
"112","august",2011,"pplots","6c","Sorghastrum_nutans",3,39.5,3,3,1,433.354,207.98,0.0955,1,0.3,0.0341,0.6442,"","C::P0"
"113","august",2011,"pplots","6c","Andropogon_gerardii",3,26.5,2,1,1,492.758,164.68,0.0992,1,0.3,0.0416,0.1563,"","C::P0"
"114","june",2011,"pplots","6c","Sorghastrum_nutans",1,32,2,2,1,779.808,240.97,0.1049,0,0,0.0373,0.1308,"","C::P0"
"115","june",2011,"pplots","6c","Schizachyrium_scoparium",3,42,0,2,1,778.89,225.36,0.1057,0,0,0.0435,0.1981,"","C::P0"
"116","june",2011,"pplots","6c","Sorghastrum_nutans",2,34,2,1,1,728.959,136.99,0.1059,0,0,0.0339,0.1506,"","C::P0"
"117","june",2011,"pplots","6c","Schizachyrium_scoparium",2,37,2,2,1,779.407,161.78,0.1173,0,0,0.0422,0.1645,"","C::P0"
"118","june",2011,"pplots","6c","Andropogon_gerardii",2,33,0,3,2,807.582,113.8,0.1217,0,0,0.0426,0.1933,"","C::P0"
"119","august",2011,"pplots","6c","Solidago_missouriensis",2,15.5,5,1,1,660.796,85.95,0.192,1,0.3,0.0616,0.3219,"","C::P0"
"120","august",2011,"pplots","6c","Andropogon_gerardii",2,45.5,5,2,1,983.644,101.36,0.2198,1,0.3,0.076,0.6318,"","C::P0"
"121","june",2011,"pplots","6c","Solidago_missouriensis",3,12,1,5,0,770.954,113.99,0.2276,1,0.2,0.0619,0.2314,"","C::P0"
"122","august",2011,"pplots","6c","Solidago_missouriensis",1,18,5,1,1,746.168,100.85,0.2305,1,0.3,0.0783,0.423,"","C::P0"
"123","june",2011,"pplots","6c","Sorghastrum_nutans",3,40.5,1,3,1,1403.644,183.28,0.2339,0,0,0.0758,0.2708,"","C::P0"
"124","august",2011,"pplots","6c","Sorghastrum_nutans",1,47,2,2,1,1105.503,193.76,0.2456,1,0.2,0.1024,0.2883,"","C::P0"
"125","june",2011,"pplots","6c","Solidago_missouriensis",2,16,1,6,0,842.111,119.87,0.246,0,0,0.0642,0.2935,"","C::P0"
"126","june",2011,"pplots","6c","Andropogon_gerardii",3,48.5,0,3,2,1485.027,148.68,0.2599,0,0,0.0894,0.5115,"","C::P0"
"127","june",2011,"pplots","6c","Solidago_missouriensis",1,15.5,1,9,0,1145.658,145.69,0.3299,1,0.3,0.0873,0.6177,"","C::P0"
"128","august",2011,"pplots","6c","Andropogon_gerardii",1,46,5,2,1,1567.843,161.07,0.3651,1,0.3,0.1602,0.6464,"","C::P0"
"129","august",2011,"pplots","6d","Schizachyrium_scoparium",3,36,0,3,1,112.798,147.39,0.0188,1,0.3,0.0086,0.1082,"","C::P0"
"130","august",2011,"pplots","6d","Dichanthelium_oligosanthes",1,27,6,17,6,160.003,148.36,0.0278,1,0.1,0.0077,0.4408,"","C::P0"
"131","august",2011,"pplots","6d","Dichanthelium_oligosanthes",3,21,5,6,2,182.257,199.96,0.0279,0,0,0.0082,0.1891,"","C::P0"
"132","june",2011,"pplots","6d","Ambrosia_psilostachya",1,21,2,4,4,162.62,63.46,0.0288,1,0.2,0.0076,0.0869,"","C::P0"
"133","august",2011,"pplots","6d","Dichanthelium_oligosanthes",2,23,5,12,2,276.725,192.86,0.0447,0,0,0.0141,0.3799,"","C::P0"
"134","june",2011,"pplots","6d","Dichanthelium_oligosanthes",1,44,2,6,4,328.385,197.8,0.0505,1,0.1,0.0157,0.5607,"","C::P0"
"135","june",2011,"pplots","6d","Schizachyrium_scoparium",3,23,0,3,1,461.088,96.02,0.0565,0,0,0.0209,0.0771,"","C::P0"
