sp_code,site,fire,trt,height,leaf_area,SLA,LDMC,stom_length,stom_den,SPI,N,C,CN,C13,C3_C4,Growth_form,Habit
SPOHET,konza,20,ungrazed,52,5.9735,82.21142857,0.51641791,29.4,108.8888889,5.904250406,0.82,45.28,55.2195122,-13.61,c4,caespitose,p
SPOHET,konza,20,ungrazed,68,6.0105,72.09655967,0.510903427,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
SPOHET,konza,20,ungrazed,53,10.91,85.10140406,NA,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
SPOHET,konza,20,ungrazed,71,8.1255,77.17529645,0.502535211,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
SPOHET,konza,20,ungrazed,62,6.79,94.15898112,0.488183161,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
SPOHET,konza,20,ungrazed,63,5.5455,80.71280005,0.48699095,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
TRIFLA,konza,1,ungrazed,111,30.9645,192.9457934,0.404755579,27.5,101.8518519,5.348812187,NA,NA,NA,NA,c4,caespitose,p
TRIFLA,konza,1,ungrazed,110,NA,NA,0.39790795,27.8,102.962963,5.443974791,1.7,41.6,24.47058824,-13.2,c4,caespitose,p
TRIFLA,konza,1,ungrazed,130,32.764,197.7964678,0.433184403,29.7,110,5.995384844,NA,NA,NA,NA,c4,caespitose,p
TRIFLA,konza,1,ungrazed,100,27.833,204.8050037,0.41146789,26.5,98.14814815,5.053807247,1.9,42.6,22.42105263,-13.2,c4,caespitose,p
TRIFLA,konza,1,ungrazed,81,10.0605,200.6739071,0.459879206,23.8,88.14814815,4.30215106,NA,NA,NA,NA,c4,caespitose,p
TRIFLA,konza,1,ungrazed,117,39.874,164.1766259,0.369224307,NA,NA,NA,1.3,43.7,33.61538462,-13.2,c4,caespitose,p
TRIFLA,konza,1,ungrazed,135,10.3265,254.2561633,0.43144208,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
TRIFLA,konza,1,ungrazed,118,60.3705,189.4681779,0.421259374,NA,NA,NA,1.7,42.3,24.88235294,-14.1,c4,caespitose,p
TRIFLA,konza,1,ungrazed,112,32.54,191.5251864,0.401725791,NA,NA,NA,NA,NA,NA,NA,c4,caespitose,p
TRIFLA,konza,1,ungrazed,87,10.169,204.5110192,0.388810198,NA,NA,NA,1.7,42,24.70588235,-13.3,c4,caespitose,p
