"site","plotID","BOER4","KAPA","CHER2","HODR","SPCO4","CHSE7","DAPU7","SATR12","MAPIP","EUEX4","PLJA","MUAR2","SPORO","GUSA2","LIPU4","MUSQ3","TILA2","LEFE","MELE2","CHRE4","SPCR","LATR2","SCBR2","EPTO","ALIN","BOGR2","ZIGR","ARPU9","ECIN2","SPHA","GACO5","MILI3","SOEL","SEFLF","ARAD","CHSES","ECFEF3","COEQ","GASUN","SPPO6","EVNU","PEAN","CHAL11","STPA4","IPCO2","HYVE","BREUC2","SEBA3"
"core_black","5 E 3",90.3846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","5 N 1",61.1570247933884,21.4876033057851,0,0,0,0,0,0,0,0.826446280991736,0,0,7.43801652892562,0,0,0,6.61157024793388,0,0.826446280991736,1.65289256198347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","1 N 3",55.6792873051225,8.9086859688196,0,0,5.56792873051225,0,0,0,0,0,0,3.34075723830735,0,0,0,0,2.67260579064588,0,0,0,0,0,1.55902004454343,22.271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","5 N 3",84.5714285714286,0,0,0,0,0,0,6.85714285714286,0,0,0,0,0,0,0,0,0,0,2.85714285714286,0,5.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","4 NW 3",96.3592233009709,0,0,0,0,0,0,0,2.42718446601942,0,0,0,1.21359223300971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","1 N 1",59.5141700404858,0,0,0,0,0,0,0,0,0,0,0,8.09716599190283,0,0,0,2.02429149797571,0,0,0,0,0,30.3643724696356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","4 E 3",12.9854368932039,0,0,0,0,0,0,0.242718446601942,0,0,0,0,1.82038834951456,0,0,0,0,0,0,0,0,84.9514563106796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","5 W 1",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","4 W 1",80.590717299578,0,0,0,0,0,0,16.8776371308017,0,0.421940928270042,0,0,2.10970464135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","5 S 1",76.9230769230769,15.3846153846154,0,0,0,0,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_black","5 NE 1",75.2212389380531,0,0,0,0,0,0,12.3893805309735,0,0,0,0,12.3893805309735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
