"site","plotID","BOER4","KAPA","CHER2","HODR","SPCO4","CHSE7","DAPU7","SATR12","MAPIP","EUEX4","PLJA","MUAR2","SPORO","GUSA2","LIPU4","MUSQ3","TILA2","LEFE","MELE2","CHRE4","SPCR","LATR2","SCBR2","EPTO","ALIN","BOGR2","ZIGR","ARPU9","ECIN2","SPHA","GACO5","MILI3","SOEL","SEFLF","ARAD","CHSES","ECFEF3","COEQ","GASUN","SPPO6","EVNU","PEAN","CHAL11","STPA4","IPCO2","HYVE","BREUC2","SEBA3"
"core_blue","1 N 3",0,0,0,0,0,0,0,0,0,0,0,0,2.9673590504451,0,0,0,0,0,0,0,0,0,0,0,0,96.4391691394659,0,0,0.593471810089021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_blue","1 E 1",52.4084778420039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2793834296724,0,0,0.385356454720617,0,0,0,0,0,0,0,1.92678227360308,0,0,0,0,0,0,0,0,0,0,0
"core_blue","4 N 1",0,0,0,0,0,0,0,0,0,0,0,42.0168067226891,2.10084033613445,0,0,0,0,0,0,0,0,0,0,0,0,55.4621848739496,0,0,0.420168067226891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_blue","5 N 1",0,0,0,0,0,0,0,0,0,0,9.66183574879227,7.2463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0917874396135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_blue","4 N 3",22.9508196721311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4098360655738,0,0,0,0,0,0,0,0,0,0,1.63934426229508,0,0,0,0,0,0,0,0,0,0,0
"core_blue","1 N 1",17.4042764793635,0,0,0,0,0,0,0,0,0,0,0,11.1884634510194,0,0,0,0,0,0,0,0,0,5.46991546494281,0,0,65.8876181004475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497265042267529,0,0,0,0,0
"core_blue","4 E 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2289156626506,0,4.51807228915663,0,0,2.25903614457831,4.06626506024096,1.50602409638554,0,1.05421686746988,0,0,15.0602409638554,0,0,0,0.451807228915663,5.57228915662651,0,0.451807228915663,0,7.53012048192771,0.301204819277108
"core_blue","3 W 1",56.140350877193,0,0,0,0,0,0,0,0,0,0,0,3.50877192982456,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,7.01754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_blue","2 E 3",60.4265402843602,0,0,0,0,0,0,0,0,0,0,1.18483412322275,0,0,0,0,0,0,0,0,0,0,0,0,0,37.914691943128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4739336492891,0,0,0,0,0,0,0,0
"core_blue","2 W 3",3.21543408360129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4630225080386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321543408360129,0,0,0,0,0,0,0,0
"core_blue","4 W 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"core_blue","3 E 3",46.656298600311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4883359253499,0,0,0,0,0,0,0,0,0,0,0,0,0.855365474339036,0,0,0,0,0,0,0,0,0
