year,season,date,site,tmnt,kartez,obs,ccount,cover,height,live_weight,Dead_Weight,Book,Comments
1999,1,2/4/99,C,C,LATR2,7,1,3,20,13.03,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,8,1,4,15,26.77,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,9,1,5,30,32.92,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,10,1,6,30,36.59,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,11,1,7,41,56.25,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,12,1,8,38,49.49,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,13,1,9,40,62.08,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,14,1,10,36,67.83,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,15,1,12,38,63.69,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,1,1,0.01,2,0.06,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,2,1,0.01,1,0.04,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,3,1,0.1,2,0.44,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,4,1,0.1,3,0.38,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,5,1,0.25,5,1.13,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,6,1,0.25,3,0.97,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,7,1,0.5,19,3.3,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,8,1,0.5,7,3.78,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,9,1,0.5,12,4.41,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,10,1,1,15,4.79,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,11,1,1,7,3.15,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,12,1,1,12,5.01,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,13,1,1,9,3.42,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,14,1,1.5,13,5.26,-888,99-1,NA
1999,1,2/4/99,C,C,LEFE,15,1,2,12,4.47,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,1,1,0.01,1,0.06,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,2,1,0.01,1,0.05,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,3,1,0.01,1,0.05,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,4,1,0.1,1,0.12,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,5,1,0.1,1,0.08,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,6,1,0.1,1,0.11,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,7,1,0.25,1,0.34,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,8,1,0.25,2,0.3,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,9,1,0.25,1,0.36,-888,99-1,NA
1999,1,2/4/99,C,C,MAPIP,10,1,0.25,1,0.3,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,1,1,0.01,3,0.01,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,2,1,0.1,6,0.04,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,3,1,0.25,12,0.08,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,4,1,0.5,16,0.21,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,5,1,1,19,0.56,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,6,1,2,20,0.59,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,7,1,3,18,1.26,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,8,1,4,18,0.72,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,9,1,5,22,0.88,-888,99-1,NA
1999,1,2/4/99,C,C,MELE2,10,1,6,22,1.04,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,1,1,0.1,8,0.04,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,2,1,0.1,7,0.01,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,3,1,0.25,8,0.02,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,4,1,0.5,7,0.05,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,5,1,1,6,0.07,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,6,1,1,6,0.17,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,7,1,2,9,0.1,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,8,1,2,7,0.2,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,9,1,3,8,0.23,-888,99-1,NA
1999,1,2/4/99,C,C,MUAR2,10,1,3,9,0.26,-888,99-1,NA
1999,1,2/4/99,C,C,MUPO2,1,1,1,33,3.92,-888,99-1,NA
